This file was created by CMPT_ME_BEME_RETS using the 201209 CRSP database.
It contains value- and equal-weighted returns for the intersections of  5
ME portfolios and  5 BE/ME portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
                      Small                                 2                                  3                                  4                                Big                
          Low     2      3      4    High    Low     2      3      4    High    Low     2      3      4    High    Low     2      3      4    High    Low     2      3      4    High 
192607   3.61  -3.69  -0.64  -1.42  -0.64   3.42   3.26   2.42  -1.27   2.46   1.56   2.86  -1.34   3.34  -2.16   3.29   1.24   1.29   0.55   2.56   3.18   6.08   2.00   2.93   0.56
192608  -1.94  -6.78   3.81   1.21   4.82   1.59  -2.91   3.02   2.14   7.47  -1.06   1.67   2.08   4.86   8.14   0.76   4.11   1.93   2.13   4.47   1.17   4.10   1.82   5.64   7.76
192609  -6.41   3.45  -5.19   3.08   0.75  -2.81  -2.32   1.15  -1.54  -2.61  -0.46   1.25  -2.37   1.01  -2.74   1.87  -0.08  -1.84   1.56   2.18  -1.37   3.66  -0.23  -0.30  -2.43
192610  -8.66 -10.02  -3.80   0.04  -3.06  -3.65  -3.77  -7.02  -6.29   0.08  -4.80  -2.23  -0.05  -1.73  -3.73   0.13  -1.71  -2.33  -2.93  -5.21  -3.14  -3.13  -2.21  -4.59  -5.81
192611   3.77  12.42   2.31  -3.36   1.40   1.50  -2.77   4.03   3.46   1.62   1.78   4.64   3.27   3.54   3.40   3.54   2.28   3.85   5.00   1.78   4.31   2.61   1.47   3.55   2.56
192612  13.65  -2.30  -1.00   5.22   2.15   4.63   4.51   2.81   0.71   3.38  -1.31   2.02  -0.67   3.17   0.87   2.52   2.31   2.24   2.70   1.80   1.52   3.47   2.07   5.75   2.41
192701   0.37  -7.81  -2.20   4.83   1.63   0.06  -5.19  -1.40  -0.25  11.35   0.28  -0.38   0.33   2.50   2.55   2.85   1.65  -0.73   0.51   7.60  -0.87   0.31  -0.44   0.49   4.22
192702   2.44   7.00  10.75   5.05   9.45   0.70   7.67   7.82   4.28   7.80   6.38   5.11   5.63   6.93  13.63   5.33   3.60   2.95   6.22  11.26   3.41   5.08   3.36   4.98   6.27
192703   6.28  -1.95  -5.80  -5.49  -3.18  -1.78  -1.01   0.09  -2.20  -0.83   0.71  -3.88  -0.73  -2.29  -5.99  -2.04  -0.53  -0.28  -1.81   5.40   0.64   1.98  -0.45   0.72  -3.84
192704   5.72   4.08   4.20   4.72   5.90  -1.61  -4.72  -1.83   2.82   4.08  -2.65   1.07  -0.37   2.47   1.03   0.50   1.78  -0.74   0.30   6.50   2.67   0.86  -0.60  -0.18  -3.53
